id	frequency	en	pos	es	nl
141	63087	woman	n	mujer	vrouw
142	62993	over	adv	encima	over-
143	62445	seem	v	parecer	lijken
144	62402	same	det	mismo	dezelfde
145	62350	us	pron	nos	ons
146	62248	work	n	trabajo	werk
147	62201	need	v	necesitar	nodig hebben
148	62185	feel	v	sensación	voelen
149	61912	system	n	sistema	systeem
150	61492	each	det	cada	elk
151	61446	might	modal	podría	macht
152	61446	may	v	mayo	mei
153	61338	much	adv	mucho	veel
154	60879	ask	v	pedir	vragen
155	60689	group	n	grupo	groep
156	60607	number	n	número	aantal
157	60592	yes	interjection	sí	Ja
158	60498	however	adv	sin embargo	echter
159	60182	another	det	otro	een ander
160	59829	again	adv	de nuevo	nog een keer
161	59094	world	n	mundo	wereld-
162	58449	area	n	zona	Gebied
163	58152	show	v	espectáculo	laten zien
164	57776	course	n	curso	Cursus
165	57754	company	n	empresa	bedrijf
166	57056	shall	modal	deberá	zal
167	56638	under	prep	debajo	onder
168	56483	problem	n	problema	probleem
169	56208	against	prep	en contra	tegen
170	55899	never	adv	Nunca	nooit
171	55704	all	adv	todas	alle
172	54966	most	adv	más	meest
173	54468	service	n	Servicio	service
174	54422	try	v	tratar	proberen
175	53396	call	v	llamada	telefoontje
176	53265	hand	n	mano	hand-
177	52979	party	n	fiesta	feest
178	52703	high	a	alto	hoog
179	52561	about	adv	acerca de	over
180	52452	something	pron	alguna cosa	iets
181	52227	school	n	colegio	school-
182	51652	in	adv	en	in
183	51626	small	a	pequeña	klein
184	51537	place	n	lugar	plaats
185	51259	before	prep	antes de	voor
186	50877	why	adv	por qué	waarom
187	50548	while	conj	mientras	terwijl
188	50294	away	adv	lejos	weg
189	50092	keep	v	guardar	houden
190	49187	point	n	punto	punt
191	49022	house	n	casa	huis
192	48373	different	a	diferente	verschillend
193	48177	country	n	país	land
194	48062	really	adv	De Verdad	werkelijk
195	47923	provide	v	proporcionar	voorzien
196	47512	week	n	semana	week
197	47234	hold	v	sostener	houden
198	47185	large	a	grande	groot
199	47141	member	n	miembro	lid
200	46285	off	adv	apagado	uit
201	46228	always	adv	siempre	altijd
202	46221	next	det	siguiente	volgende
203	46145	follow	v	seguir	volgen
204	45867	without	prep	sin	zonder
205	45487	turn	v	giro	beurt
206	45160	end	n	fin	einde
207	45042	within	prep	dentro	binnen
208	44920	local	a	local	lokaal
209	44496	where	conj	dónde	waar
210	44013	during	prep	durante	gedurende
211	43894	bring	v	traer	brengen
212	43792	most	det	más	meest
213	43750	word	n	palabra	woord
214	43740	begin	v	empezar	beginnen
215	43635	although	conj	a pesar de que	hoewel
216	43402	example	n	ejemplo	voorbeeld
217	43139	next	adv	siguiente	volgende
218	42773	family	n	familia	familie
219	42341	rather	adv	más bien	liever
220	42241	fact	n	hecho	feit
221	41909	like	v	me gusta	graag willen
222	41617	social	a	social	sociaal
223	41497	write	v	escribir	schrijven
224	41351	state	n	estado	staat
225	41205	percent	n	por ciento	procent
226	41169	quite	adv	bastante	heel
227	41162	both	det	ambos	beide
228	41029	start	v	comienzo	begin
229	40858	run	v	correr	rennen
230	40492	long	a	largo	lang
231	40460	right	adv	derecho	rechts
232	40381	set	v	conjunto	reeks
233	40265	help	v	ayuda	helpen
234	40114	every	det	cada	elk
235	39850	home	n	casa	huis
236	39819	month	n	mes	maand
237	39626	side	n	lado	kant
238	39315	night	n	noche	nacht
239	39265	important	a	importante	belangrijk
240	39192	eye	n	ojo	oog
241	39000	head	n	cabeza	hoofd
242	38656	information	n	información	informatie
243	38608	question	n	pregunta	vraag
244	38204	business	n	negocio	bedrijf
245	38053	play	v	jugar	spelen
246	37963	power	n	poder	macht
247	37892	money	n	dinero	geld
248	37884	change	n	cambio	verandering
249	37836	move	v	movimiento	verhuizing
250	37744	interest	n	interesar	interesseren
251	37736	order	n	orden	bestellen
252	37675	book	n	libro	boek
253	37640	often	adv	a menudo	vaak
254	37386	development	n	desarrollo	ontwikkeling
255	37278	young	a	joven	jong
256	37231	national	a	nacional	nationaal
257	36665	pay	v	paga	betalen
258	36575	hear	v	oír	horen
259	36360	room	n	habitación	kamer
260	36169	whether	conj	si	of
261	35767	water	n	agua	water
262	35758	form	n	formar	het formulier
263	35295	car	n	coche	auto
264	35164	other	n	otro	anders
265	35058	yet	adv	todavía	nog
266	35039	perhaps	adv	quizás	misschien
267	34970	meet	v	reunirse	ontmoeten
268	34885	level	n	nivel	niveau
269	34807	until	conj	hasta	tot
270	34801	though	conj	aunque	hoewel
271	34775	policy	n	política	het beleid
272	34753	include	v	incluir	omvatten
273	34603	believe	v	creer	geloven
274	34496	council	n	Consejo	raad
275	34292	already	adv	ya	nu al
276	34178	possible	a	posible	mogelijk
277	34064	nothing	pron	nada	niets
278	33888	line	n	línea	lijn
279	33687	allow	v	permitir	toestaan
280	33660	need	n	necesitar	nodig hebben
281	33423	effect	n	efecto	effect
282	33300	big	a	grande	groot
283	32998	use	n	utilizar	gebruik
284	32923	lead	v	dirigir	lood
285	32899	stand	v	estar	stand
286	32798	idea	n	idea	idee
287	32786	study	n	estudiar	studie
288	32733	lot	n	mucho	lot
289	32675	live	v	vivir	leven
290	32484	job	n	trabajo	baan
291	32404	since	conj	ya que	sinds
292	32309	name	n	nombre	naam
293	32259	result	n	resultado	resultaat
294	32231	body	n	cuerpo	lichaam
295	32075	happen	v	ocurrir	gebeuren
296	31927	friend	n	amigo	vriend
297	31873	right	n	derecho	rechts
298	31713	least	adv	menos	minst
299	31630	right	a	derecho	rechts
300	31588	almost	adv	casi	bijna
301	31284	much	det	mucho	veel
302	31258	carry	v	llevar	dragen
303	31231	authority	n	autoridad	autoriteit
304	31143	long	adv	largo	lang
305	31110	early	a	temprano	vroeg
306	31102	view	n	ver	uitzicht
307	31082	himself	pron	él mismo	zichzelf
308	30983	public	a	público	openbaar
309	30960	together	adv	juntos	samen
310	30930	talk	v	hablar	praten
311	30857	report	n	informe	verslag doen van
312	30855	after	conj	después	na
313	30775	only	a	solamente	enkel en alleen
314	30731	before	conj	antes de	voor
315	30675	bit	n	poco	beetje
316	30624	face	n	cara	gezicht
317	30599	sit	v	sentar	zitten
318	30596	market	n	mercado	markt
319	30595	appear	v	Aparecer	verschijnen
320	30466	continue	v	continuar	doorgaan met
321	30454	able	a	poder	in staat
322	30366	political	a	político	politiek
323	30326	later	adv	luego	later
324	30218	hour	n	hora	uur
325	30179	rate	n	tarifa	tarief
326	30169	law	n	ley	wet
327	30166	door	n	puerta	deur-
328	29976	court	n	Corte	rechtbank
329	29943	office	n	oficina	kantoor
330	29768	let	v	dejar	laat
331	29722	war	n	guerra	oorlog
332	29490	produce	v	Produce	produceren
333	29194	reason	n	razón	reden
334	29147	less	adv	Menos	minder
335	29141	minister	n	ministro	minister
336	29091	subject	n	tema	onderwerpen
337	28981	person	n	persona	persoon
338	28896	term	n	término	termijn
339	28887	particular	a	especial	bijzonder
340	28836	full	a	completo	vol
341	28772	involve	v	involucrar	betrekken bij
342	28760	sort	n	ordenar	soort
343	28711	require	v	exigir	vereisen
344	28665	suggest	v	sugerir	stel voor
345	28626	far	a	lejos	ver
346	28600	towards	prep	hacia	naar
347	28321	anything	pron	cualquier cosa	iets
348	28300	period	n	período	periode
349	28271	consider	v	considerar	overwegen
350	28216	read	v	leer	lezen
351	28210	change	v	cambio	verandering
352	28150	society	n	sociedad	maatschappij
353	28035	process	n	proceso	werkwijze
354	27784	mother	n	madre	moeder
355	27697	offer	v	oferta	aanbod
356	27673	late	a	tarde	laat
357	27665	voice	n	voz	stem
358	27644	both	adv	ambos	beide
359	27632	once	adv	una vez	een keer
360	27508	police	n	policía	Politie
361	27485	kind	n	tipo	soort
362	27484	lose	v	perder	verliezen
363	27367	add	v	añadir	toevoegen
364	27303	probably	adv	probablemente	waarschijnlijk
365	27221	expect	v	esperar	verwachten
366	27195	ever	adv	nunca	ooit
367	27184	available	a	disponible	beschikbaar
368	27178	no	adv	no	Nee
369	27166	price	n	precio	prijs
370	26953	little	a	pequeño	weinig
371	26894	action	n	acción	actie
372	26889	issue	n	problema	kwestie
373	26856	far	adv	lejos	ver
374	26748	remember	v	recuerda	onthouden
375	26625	position	n	posición	positie
376	26616	low	a	bajo	laag
377	26556	cost	n	costo	kosten
378	26553	little	det	pequeño	weinig
379	26304	matter	n	importar	er toe doen
380	26289	community	n	comunidad	gemeenschap
381	26244	remain	v	permanecer	blijven
382	26191	figure	n	figura	figuur
383	26034	type	n	tipo	type
384	26018	research	n	investigación	Onderzoek
385	25990	actually	adv	actualmente	werkelijk
386	25987	education	n	Educación	onderwijs
387	25966	fall	v	otoño	vallen
388	25788	speak	v	hablar	spreken
389	25781	few	n	pocos	weinig
390	25775	today	adv	hoy	vandaag
391	25635	enough	adv	suficiente	genoeg
392	25614	open	v	abierto	Open
393	25608	bad	a	malo	slecht
394	25582	buy	v	comprar	kopen
395	25444	programme	n	programa	programma
396	25440	minute	n	minuto	minuut
397	25371	moment	n	momento	moment
398	25366	girl	n	niña	meisje
399	25340	age	n	años	leeftijd
400	25272	centre	n	centrar	centrum
401	25066	stop	v	detener	hou op
402	25041	control	n	controlar	controle
403	25024	value	n	valor	waarde
404	24816	send	v	enviar	sturen
405	24527	health	n	salud	Gezondheid
406	24380	decide	v	decidir	besluiten
407	24370	main	a	principal	hoofd
408	24310	win	v	ganar	winnen
409	24252	understand	v	entender	begrijpen
410	24233	decision	n	decisión	besluit
411	24205	develop	v	desarrollar	ontwikkelen
412	24148	class	n	clase	klasse
413	24144	industry	n	industria	industrie
414	24111	receive	v	recibir	te ontvangen
415	24095	back	n	espalda	terug
416	24002	several	det	varios	verscheidene
417	23976	return	v	regreso	terugkeer
418	23931	build	v	construir	bouwen
419	23799	spend	v	gastar	besteden
420	23785	force	n	fuerza	dwingen
421	23742	condition	n	condición	staat
422	23712	itself	pron	sí mismo	zelf
423	23694	paper	n	papel	papier
424	23673	themselves	pron	sí mismos	zich
425	23629	off	prep	apagado	uit
426	23629	major	a	mayor	groot
427	23533	describe	v	describir	beschrijven
428	23497	agree	v	de acuerdo	mee eens
429	23484	economic	a	económico	economisch
430	23474	increase	v	incrementar	toename
431	23409	upon	prep	sobre	op
432	23394	learn	v	aprender	leren
433	23340	general	a	general	algemeen
434	23259	century	n	siglo	eeuw
435	23218	therefore	adv	por lo tanto	daarom
436	23216	father	n	padre	vader
437	23188	section	n	sección	sectie
438	23106	patient	n	paciente	geduldig
439	23106	around	adv	alrededor	in de omgeving van
440	23105	activity	n	actividad	activiteit
441	23103	road	n	la carretera	weg
442	23092	table	n	mesa	tafel
443	23082	including	prep	incluso	inclusief
444	23008	church	n	Iglesia	kerk
445	22992	reach	v	alcanzar	bereiken
446	22982	real	a	real	echt
447	22959	lie	v	mentira	liggen
448	22926	mind	n	mente	geest
449	22899	likely	a	probable	waarschijnlijk
450	22864	among	prep	entre	tussen
451	22781	team	n	equipo	team
452	22751	experience	n	experiencia	ervaring
453	22712	death	n	muerte	dood
454	22703	soon	adv	pronto	spoedig
455	22657	act	n	acto	handelen
456	22601	sense	n	sentido	zin
457	22363	staff	n	personal	personeel
458	22297	certain	a	cierto	zeker
459	22237	student	n	estudiante	student
460	22232	half	det	mitad	voor de helft
461	22180	around	prep	alrededor	in de omgeving van
462	22117	language	n	idioma	taal
463	22101	walk	v	caminar	lopen
464	22087	die	v	morir	dood gaan
465	22040	special	a	especial	speciaal
466	22033	difficult	a	difícil	moeilijk
467	22010	international	a	internacional	Internationale
468	22002	particularly	adv	particularmente	vooral
469	21939	department	n	Departamento	afdeling
470	21884	management	n	administración	beheer
471	21845	morning	n	Mañana	ochtend-
472	21778	draw	v	dibujar	trek
473	21763	hope	v	esperanza	hoop
474	21763	across	prep	a través de	aan de overkant
475	21727	plan	n	plan	plan
476	21712	product	n	producto	artikel
477	21596	city	n	ciudad	stad
478	21585	early	adv	temprano	vroeg
479	21575	committee	n	comité	commissie
480	21504	ground	n	suelo	grond
481	21488	letter	n	carta	brief
482	21470	create	v	crear	creëren
483	21454	evidence	n	evidencia	bewijsmateriaal
484	21339	foot	n	pie	voet
485	21260	clear	a	claro	duidelijk
486	21205	boy	n	chico	jongen
487	21181	game	n	juego	spel
488	21044	food	n	comida	eten
489	21016	role	n	papel	rol
490	20950	practice	n	práctica	praktijk
491	20946	bank	n	banco	bank
492	20919	else	adv	más	anders
493	20904	support	n	apoyo	ondersteuning
494	20902	sell	v	vender	verkopen
495	20839	event	n	evento	evenement
496	20770	building	n	edificio	gebouw
497	20726	range	n	distancia	reeks
498	20694	behind	prep	detrás	achter
499	20678	sure	a	Por supuesto	zeker
500	20660	report	v	informe	verslag doen van
501	20633	pass	v	pasar	slagen voor
502	20609	black	a	negro	zwart
503	20586	stage	n	escenario	stadium
504	20544	meeting	n	reunión	vergadering
505	20517	sometimes	adv	a veces	soms
506	20488	thus	adv	así	dus
507	20373	accept	v	aceptar	aanvaarden
508	20170	town	n	pueblo	stad-
509	20168	art	n	art	kunst
510	20138	further	adv	promover	verder
511	20113	club	n	club	club
512	20091	cause	v	porque	oorzaak
513	20089	arm	n	brazo	arm
514	20064	history	n	historia	geschiedenis
515	20060	parent	n	padre	ouder
516	20001	land	n	tierra	land-
517	19928	trade	n	comercio	handel
518	19869	watch	v	reloj	kijk maar
519	19865	white	a	blanco	wit
520	19856	situation	n	situación	situatie
521	19833	whose	det	cuyo	van wie
522	19808	ago	adv	hace	geleden
523	19744	teacher	n	profesor	leraar
524	19639	record	n	grabar	record
525	19636	manager	n	gerente	manager
526	19628	relation	n	relación	relatie
527	19565	common	a	común	gemeenschappelijk
528	19558	strong	a	fuerte	sterk
529	19542	whole	a	todo	geheel
530	19542	field	n	campo	veld-
531	19539	free	a	gratis	gratis
532	19512	break	v	descanso	breken
533	19459	yesterday	adv	ayer	gisteren
534	19344	support	v	apoyo	ondersteuning
535	19340	window	n	ventana	venster
536	19260	account	n	cuenta	account
537	19218	explain	v	explique	leg uit
538	19207	stay	v	permanecer	blijven
539	19160	few	det	pocos	weinig
540	19152	wait	v	Espere	Wacht
541	19151	usually	adv	generalmente	doorgaans
542	19138	difference	n	diferencia	verschil
543	19057	material	n	material	materiaal
544	19046	air	n	aire	lucht
545	19039	wife	n	esposa	vrouw
546	19015	cover	v	cubrir	deksel
547	18982	apply	v	aplicar	van toepassing zijn
548	18916	project	n	proyecto	project
549	18913	raise	v	aumento	verhogen
550	18900	sale	n	venta	verkoop
551	18866	relationship	n	relación	verhouding
552	18858	indeed	adv	en efecto	inderdaad
553	18853	light	n	ligero	licht
554	18828	claim	v	Reclamación	vordering
555	18757	form	v	formar	het formulier
556	18742	base	v	base	baseren
557	18717	care	n	cuidado	zorg
558	18681	someone	pron	alguien	iemand
559	18675	everything	pron	todo	alles
560	18647	certainly	adv	ciertamente	zeker
561	18579	rule	n	regla	regel
562	18540	home	adv	casa	huis
563	18511	cut	v	cortar	besnoeiing
564	18433	grow	v	crecer	groeien
565	18432	similar	a	similar	soortgelijk
566	18418	story	n	historia	verhaal
567	18415	quality	n	calidad	kwaliteit
568	18313	tax	n	impuesto	belasting
569	18247	worker	n	obrero	arbeider
570	18223	nature	n	naturaleza	natuur
571	18201	structure	n	estructura	structuur
572	18188	data	n	datos	gegevens
573	18107	necessary	a	necesario	noodzakelijk
574	18058	pound	n	libra	pond
575	18044	method	n	Método	methode
576	17958	unit	n	unidad	eenheid
577	17947	central	a	central	centraal
578	17947	bed	n	cama	bed
579	17902	union	n	Unión	unie
580	17880	movement	n	movimiento	beweging
581	17878	board	n	tablero	boord
582	17836	true	a	cierto	waar
583	17809	well	interjection	bien	goed
584	17756	simply	adv	simplemente	eenvoudigweg
585	17732	contain	v	Contiene	bevatten
586	17694	especially	adv	especialmente	vooral
587	17662	open	a	abierto	Open
588	17635	short	a	corto	kort
589	17622	personal	a	personal	persoonlijk
590	17584	detail	n	detalle	detail-
591	17553	model	n	modelo	model-
592	17461	bear	v	oso	beer
593	17415	single	a	soltero	single
594	17331	join	v	unirse	toetreden
595	17226	reduce	v	reducir	verminderen
596	17224	establish	v	establecer	tot stand brengen
597	17197	herself	pron	sí misma	zichzelf
598	17194	wall	n	pared	muur
599	17193	face	v	cara	gezicht
600	17065	easy	a	fácil	gemakkelijk
601	17022	private	a	privado	privaat
602	16976	computer	n	computadora	computer
603	16973	former	det	ex	voormalig
604	16898	hospital	n	hospital	ziekenhuis
605	16860	chapter	n	capítulo	hoofdstuk
606	16804	scheme	n	esquema	schema
607	16776	theory	n	teoría	theorie
608	16731	choose	v	escoger	Kiezen
609	16647	wish	v	deseo	wens
610	16646	property	n	propiedad	eigendom
611	16628	achieve	v	lograr	bereiken
612	16622	financial	a	financiero	financieel
613	16579	poor	a	pobre	arm
614	16555	officer	n	oficial	officier
615	16509	up	prep	arriba	omhoog
616	16503	charge	n	cargar	in rekening brengen
617	16487	director	n	director	regisseur
618	16477	drive	v	manejar	rijden
619	16402	deal	v	acuerdo	transactie
620	16392	place	v	lugar	plaats
621	16331	approach	n	enfoque	nadering
622	16288	chance	n	oportunidad	kans
623	16281	application	n	solicitud	toepassing
624	16270	seek	v	buscar	zoeken
625	16247	cos	conj	cos	cos
626	16234	foreign	a	exterior	buitenlands
627	16233	along	prep	a lo largo	langs
628	16176	top	n	parte superior	top
629	16138	amount	n	cantidad	bedrag
630	16077	son	n	hijo	zoon
631	16040	operation	n	operación	operatie
632	16038	fail	v	fallar	mislukken
633	16008	human	a	humano	menselijk
634	16002	opportunity	n	oportunidad	kans
635	15911	simple	a	sencillo	eenvoudig
636	15903	leader	n	líder	leider
637	15872	look	n	Mira	kijken
638	15840	share	n	compartir	delen
639	15837	production	n	producción	productie
640	15812	recent	a	reciente	recent
641	15767	firm	n	firma	firma
642	15748	picture	n	imagen	afbeelding
643	15747	source	n	fuente	bron
644	15742	security	n	seguridad	veiligheid
645	15722	serve	v	servir	dienen
646	15722	according	prep	conforme	volgens
647	15688	end	v	fin	einde
648	15672	contract	n	contrato	contract
649	15644	wide	a	amplio	breed
650	15635	occur	v	ocurrir	voorkomen
651	15627	agreement	n	acuerdo	overeenkomst
652	15626	better	adv	mejor	beter
653	15620	kill	v	matar	doden
654	15620	act	v	acto	handelen
655	15602	site	n	sitio	plaats
656	15599	either	adv	ya sea	een van beide
657	15552	labour	n	labor	arbeid
658	15538	plan	v	plan	plan
659	15502	various	a	varios	divers
660	15496	since	prep	ya que	sinds
661	15491	test	n	prueba	test
662	15446	eat	v	comer	eten
663	15442	loss	n	pérdida	verlies
664	15439	close	v	cerca	dichtbij
665	15416	represent	v	representar	vertegenwoordigen
666	15398	love	v	amor	liefde
667	15370	colour	n	color	kleur
668	15349	clearly	adv	claramente	duidelijk
669	15292	shop	n	tienda	winkel
670	15251	benefit	n	beneficio	voordeel
671	15250	animal	n	animal	dier
672	15242	heart	n	corazón	hart-
673	15227	election	n	elección	verkiezing
674	15159	purpose	n	propósito	doel
675	15156	standard	n	estándar	standaard-
676	15140	due	a	debido	ten gevolge
677	15106	secretary	n	secretario	secretaris
678	15106	rise	v	subir	stijgen
679	15044	date	n	fecha	datum
680	15034	hard	a	difícil	hard
681	15024	music	n	música	muziek-
682	15020	hair	n	cabello	haar-
683	14961	prepare	v	preparar	bereiden
684	14960	factor	n	factor	factor
685	14959	other	pron	otro	anders
686	14956	anyone	pron	nadie	iedereen
687	14934	pattern	n	patrón	patroon
688	14894	manage	v	gestionar	beheren
689	14873	piece	n	pieza	stuk
690	14861	discuss	v	discutir	bespreken
691	14812	prove	v	probar	bewijzen
692	14758	front	n	frente	voorkant
693	14739	evening	n	noche	avond
694	14711	royal	a	real	Koninklijk
695	14692	tree	n	árbol	boom
696	14664	population	n	población	bevolking
697	14650	fine	a	multa	fijn
698	14638	plant	n	planta	fabriek
699	14635	pressure	n	presión	druk
700	14627	response	n	respuesta	antwoord
701	14627	catch	v	captura	vangst
702	14622	street	n	calle	straat
703	14622	pick	v	recoger	plukken
704	14620	performance	n	actuación	prestatie
705	14609	knowledge	n	conocimiento	kennis
706	14592	despite	prep	A pesar de	ondanks
707	14565	design	n	diseño	ontwerp
708	14546	page	n	página	pagina
709	14527	enjoy	v	Disfruta	genieten
710	14487	individual	n	individual	individu
711	14482	suppose	v	suponer	veronderstellen
712	14440	rest	n	descanso	rust uit
713	14437	instead	adv	en lugar	in plaats daarvan
714	14434	wear	v	vestir	slijtage
715	14420	basis	n	base	basis
716	14416	size	n	tamaño	grootte
717	14403	environment	n	ambiente	milieu
718	14402	per	prep	por	per
719	14379	fire	n	fuego	brand
720	14348	series	n	serie	serie
721	14330	success	n	éxito	succes
722	14304	natural	a	natural	natuurlijk
723	14274	wrong	a	incorrecto	fout
724	14248	near	prep	cerca	in de buurt
725	14244	round	adv	redondo	ronde
726	14214	thought	n	pensamiento	gedachte
727	14212	list	n	lista	lijst
728	14196	argue	v	discutir	argumenteren
729	14178	final	a	final	laatste
730	14174	future	n	futuro	toekomst
731	14155	introduce	v	introducir	voorstellen
732	14149	analysis	n	análisis	analyse
733	14141	enter	v	entrar	invoeren
734	14119	space	n	espacio	ruimte
735	14093	arrive	v	llegar	aankomen
736	14032	ensure	v	asegurar	ervoor zorgen
737	14025	demand	n	demanda	vraag naar
738	13990	statement	n	declaración	uitspraak
739	13989	to	adv	a	naar
740	13968	attention	n	atención	aandacht
741	13921	love	n	amor	liefde
742	13877	principle	n	principio	beginsel
743	13852	pull	v	Halar	Trekken
744	13691	set	n	conjunto	reeks
745	13684	doctor	n	doctor	doctor
746	13682	choice	n	elección	keuze
747	13673	refer	v	referir	verwijzen
748	13669	feature	n	característica	voorzien zijn van
749	13668	couple	n	Pareja	paar
750	13625	step	n	paso	stap
751	13592	following	a	siguiendo	als vervolg op
752	13531	thank	v	gracias	bedanken
753	13518	machine	n	máquina	machine
754	13509	income	n	ingresos	inkomen
755	13503	training	n	formación	opleiding
756	13475	present	v	presente	aanwezig
757	13471	association	n	asociación	vereniging
758	13466	film	n	película	film
759	13452	region	n	región	regio
760	13386	effort	n	esfuerzo	inspanning
761	13337	player	n	jugador	speler
762	13337	everyone	pron	todo el mundo	iedereen
763	13308	present	a	presente	aanwezig
764	13274	award	n	premio	onderscheiding
765	13249	village	n	pueblo	dorp
766	13240	control	v	controlar	controle
767	13237	organisation	n	organización	organisatie
768	13236	whatever	det	lo que sea	wat dan ook
769	13223	news	n	Noticias	nieuws
770	13183	nice	a	bonito	leuk
771	13177	difficulty	n	dificultad	moeilijkheid
772	13156	modern	a	moderno	modern
773	13153	cell	n	celda	cel
774	13106	close	a	cerca	dichtbij
775	13105	current	a	corriente	actueel
776	13103	legal	a	legal	wettelijk
777	13083	energy	n	energía	energie
778	13014	finally	adv	finalmente	Tenslotte
779	12996	degree	n	la licenciatura	mate
780	12952	mile	n	milla	mijl
781	12942	means	n	medio	middelen
782	12938	growth	n	crecimiento	groei
783	12926	whom	pron	quién	wie
784	12903	treatment	n	tratamiento	behandeling
785	12902	sound	n	sonar	geluid
786	12889	above	prep	encima	bovenstaand
787	12883	task	n	tarea	taak
788	12876	provision	n	provisión	voorziening
789	12867	affect	v	afectar	aantasten
790	12862	please	adv	Por favor	alsjeblieft
791	12857	red	a	rojo	rood
792	12854	happy	a	contento	gelukkig
793	12853	behaviour	n	comportamiento	gedrag
